,Title,Published_date,Views,Likes,Comments,month
194,Why Right NOW is a Great Time to Learn Data Science,2020-03-23 13:00:30+00:00,4356,267,50,3
195,Data Science Project Example Start to Finish (Deep Learning Image Classifier),2020-03-20 13:00:22+00:00,12547,462,45,3
196,The Secret Data Scientists Don't Want You to Know,2020-03-16 13:00:23+00:00,10623,1137,105,3
197,The 5 Stages of Learning Data Science,2020-03-13 13:00:26+00:00,17339,1295,78,3
198,Can You Learn Data Science Without a Computer?,2020-03-11 13:00:03+00:00,1591,107,14,3
199,The Best Free Data Science Courses Nobody is Talking About,2020-03-09 13:00:04+00:00,341167,21030,618,3
200,The Data Science Projects that Got Me a Job,2020-03-06 14:00:11+00:00,40218,1391,41,3
201,How to Integrate Data Science into Your Business,2020-03-02 14:00:01+00:00,3353,127,18,3
202,The Problem with Data Science,2020-02-28 14:00:07+00:00,3765,155,19,2
203,How Much Did Cheating Help the Astros Win? (What the Numbers Say),2020-02-24 14:00:00+00:00,1137,45,16,2
204,How to Set Up Your Data Science Environment (Anaconda Beginner),2020-02-21 14:00:02+00:00,119726,2343,99,2
205,3 Proven Data Science Projects for Beginners (Kaggle),2020-02-17 14:00:04+00:00,319910,17573,519,2
206,Data Science Advice for College Students,2020-02-14 17:22:37+00:00,68626,1956,197,2
207,Avoid These Data Science Resume Mistakes!,2020-02-10 15:52:59+00:00,27813,1226,60,2
208,Data Science Explained with ... Cooking?,2020-02-07 15:56:55+00:00,5092,310,48,2
209,The 4 Types of Sports Analytics Projects,2020-02-03 16:35:19+00:00,29060,957,60,2
210,Data Science in Golf: PGA Merchandise Show 2020,2020-01-31 18:50:23+00:00,574,18,13,1
211,How I Learned Data Science,2020-01-27 14:41:18+00:00,93422,2677,210,1
212,What is Sports Analytics Really?,2020-01-20 14:00:00+00:00,20377,597,73,1
213,Data Science Certificate vs Bootcamp vs Masters Degree,2020-01-18 01:03:08+00:00,109646,3110,577,1
214,How To Learn Programming for Data Science [3 Steps],2020-01-13 16:48:44+00:00,29859,1976,96,1
215,Data Science Fundamentals: SQL Queries,2020-01-10 19:15:01+00:00,6216,210,35,1
216,Questions You Should Ask Your Data Science Interviewers,2020-01-06 14:00:04+00:00,3088,149,14,1
217,The 9 Books That Changed My Perspective in 2019,2020-01-03 14:45:28+00:00,3356,179,25,1
